127.0.0.1, 2019-08-03 22:17:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000361
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/default/index, HTTP/1.1, 200, 0.436503
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000656
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.000356
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000674
127.0.0.1, 2019-08-03 22:47:27, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000666
127.0.0.1, 2019-08-03 22:47:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000280
127.0.0.1, 2019-08-03 22:47:31, POST, /admin/default/index, HTTP/1.1, 303, 0.034170
127.0.0.1, 2019-08-03 22:47:31, GET, /admin/default/site, HTTP/1.1, 200, 0.048515
127.0.0.1, 2019-08-03 22:47:31, POST, /admin/default/check_version, HTTP/1.1, 200, 0.502672
127.0.0.1, 2019-08-03 22:47:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/default/index, HTTP/1.1, 200, 0.223934
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/static/css/jumbotron.css, HTTP/1.1, 404, 0.000335
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/static/js/jquery.js, HTTP/1.1, 200, 0.000769
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000758
127.0.0.1, 2019-08-03 22:47:33, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000593
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/static/js/web2py.js, HTTP/1.1, 200, 0.001487
127.0.0.1, 2019-08-03 22:47:33, GET, /conacom/static/js/calendar.js, HTTP/1.1, 200, 0.001455
127.0.0.1, 2019-08-03 22:47:33, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000670
127.0.0.1, 2019-08-03 22:47:34, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000307
127.0.0.1, 2019-08-03 22:47:34, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000253
127.0.0.1, 2019-08-03 22:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
127.0.0.1, 2019-08-16 19:20:44, GET, /, HTTP/1.1, 303, 0.001309
127.0.0.1, 2019-08-16 19:20:48, GET, /welcome/default/index, HTTP/1.1, 200, 3.372192
127.0.0.1, 2019-08-16 19:20:50, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2019-08-16 19:20:55, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000283
127.0.0.1, 2019-08-16 19:21:01, GET, /admin/default/index, HTTP/1.1, 200, 1.622407
127.0.0.1, 2019-08-16 19:21:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000234
127.0.0.1, 2019-08-16 19:21:04, POST, /admin/default/index, HTTP/1.1, 303, 0.007476
127.0.0.1, 2019-08-16 19:21:06, GET, /admin/default/site, HTTP/1.1, 200, 0.109959
127.0.0.1, 2019-08-16 19:21:07, POST, /admin/default/check_version, HTTP/1.1, 200, 0.698065
127.0.0.1, 2019-08-16 19:21:08, GET, /conacom/default/index, HTTP/1.1, 500, 0.243081
127.0.0.1, 2019-08-16 19:21:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000758
127.0.0.1, 2019-08-16 19:21:09, GET, /admin/default/site, HTTP/1.1, 200, 0.021884
127.0.0.1, 2019-08-16 19:21:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000308
127.0.0.1, 2019-08-16 19:21:10, GET, /easy_store/default/index, HTTP/1.1, 500, 0.181226
127.0.0.1, 2019-08-16 19:21:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2019-08-16 19:21:12, GET, /admin/default/ticket/easy_store/127.0.0.1.2019-08-16.19-21-10.e13e8b93-76b3-40ca-8040-4cb39e3b9a87, HTTP/1.1, 200, 0.102841
127.0.0.1, 2019-08-16 19:21:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2019-08-16 19:21:56, GET, /, HTTP/1.1, 303, 0.000546
127.0.0.1, 2019-08-16 19:21:56, GET, /welcome/default/index, HTTP/1.1, 500, 0.523840
127.0.0.1, 2019-08-16 19:21:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000542
127.0.0.1, 2019-08-16 19:21:58, GET, /admin/default/ticket/welcome/127.0.0.1.2019-08-16.19-21-56.0ab3e05e-1c1d-404b-92b1-51fa74fb2eea, HTTP/1.1, 303, 0.123980
127.0.0.1, 2019-08-16 19:21:58, GET, /admin/default/index, HTTP/1.1, 200, 0.024086
127.0.0.1, 2019-08-16 19:21:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2019-08-16 19:22:00, POST, /admin/default/index, HTTP/1.1, 303, 0.006499
127.0.0.1, 2019-08-16 19:22:00, GET, /admin/default/ticket/welcome/127.0.0.1.2019-08-16.19-21-56.0ab3e05e-1c1d-404b-92b1-51fa74fb2eea, HTTP/1.1, 200, 0.042817
127.0.0.1, 2019-08-16 19:22:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000207
127.0.0.1, 2019-08-16 19:28:12, GET, /, HTTP/1.1, 303, 0.000648
127.0.0.1, 2019-08-16 19:28:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.095332
127.0.0.1, 2019-08-16 19:28:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000286
127.0.0.1, 2019-08-16 19:28:20, GET, /, HTTP/1.1, 303, 0.000329
127.0.0.1, 2019-08-16 19:28:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.015320
127.0.0.1, 2019-08-16 19:28:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000286
127.0.0.1, 2019-08-16 19:28:22, GET, /admin/default/index, HTTP/1.1, 303, 0.086373
127.0.0.1, 2019-08-16 19:28:22, GET, /admin/default/site, HTTP/1.1, 200, 0.041632
127.0.0.1, 2019-08-16 19:28:23, POST, /admin/default/check_version, HTTP/1.1, 200, 0.955459
127.0.0.1, 2019-08-16 19:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2019-08-16 19:28:24, GET, /conacom/default/index, HTTP/1.1, 500, 0.101643
127.0.0.1, 2019-08-16 19:28:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
